Episode Number,Scene Number,Scene Description
1X23,Scene 20,MULDER'S APARTMENT
1X23,Scene 21,7:30 A.M.
1X23,Scene 22,GEORGETOWN UNIVERSITY
1X23,Scene 23,"BERUBE RESIDENCE; ARDIS, MARYLAND"
1X23,Scene 24,MULDER'S APARTMENT; 6:10 A.M.
1X23,Scene 25,FORT MARLENE; HIGH CONTAINMENT FACILITY
1X23,Scene 26,BRIDGE
1X23,Scene 27,"WASHINGTON, D.C.; THIRTEEN DAYS LATER"
1X23,Scene 28,HIDDEN ROOM; PENTAGON
2X01,Scene 1,
2X01,Scene 2,"ARECIBO IONOSPHERIC OBSERVATORY; ARECIBO, PUERTO RICO"
2X01,Scene 3,"LONGSTREET MOTEL; WASHINGTON, D.C.; WIRETAP #5A21147"
2X01,Scene 4,"F.B.I. ACADEMY; QUANTICO, VIRGINIA"
2X01,Scene 5,"F.B.I. HEADQUARTERS; WASHINGTON, D.C."
2X01,Scene 6,WATERGATE HOTEL &amp; OFFICE COMPLEX
2X01,Scene 7,"NOVEMBER 27, 1973; CHILMARK, MASS.; 8:53 P.M."
2X01,Scene 8,MULDER’S APARTMENT
2X01,Scene 9,OFFICE OF SENATOR RICHARD MATHESON
2X01,Scene 10,"FBI HEADQUARTERS; WASHINGTON, D.C."
2X01,Scene 11,"ARECIBO, PUERTO RICO"
2X01,Scene 12,MULDER’S APARTMENT
2X01,Scene 13,"NATIONAL ASTRONOMY &amp; IONOSPHERE CENTER; ARECIBO, PUERTO RICO"
2X01,Scene 14,"U.S. NAVAL OBSERVATORY; WASHINGTON, D.C."
2X01,Scene 15,"F.B.I. HEADQUARTERS; WASHINGTON, D.C."
2X01,Scene 16,"NATIONAL ASTRONOMY &amp; IONOSPHERE CENTER; ARECIBO, PUERTO RICO"
2X01,Scene 17,MIAMI INTERNATIONAL AIRPORT
2X01,Scene 18,"NATIONAL ASTRONOMY &amp; IONOSPHERE CENTER; ARECIBO, PUERTO RICO"
2X01,Scene 19,"ASSISTANT DIRECTOR WALTER SKINNER'S OFFICE; FBI HEADQUARTERS; WASHINGTON, D.C."
2X01,Scene 20,"LONGSTREET MOTEL; WASHINGTON, D.C.; WIRETAP #5A21147"
2X02,Scene 1,ATLANTIC OCEAN; TWO MILES OFF THE COAST OF NEW JERSEY
2X02,Scene 2,"LONGSTREET MOTEL; WASHINGTON, D.C.; FEDERAL WIRETAP #5A21147"
2X02,Scene 3,"NEWARK, NEW JERSEY"
2X02,Scene 4,"FBI HEADQUARTERS; WASHINGTON, D.C."
2X02,Scene 5,"WASHINGTON, D.C."
2X02,Scene 6,"FBI NATIONAL ACADEMY; QUANTICO, VIRGINIA"
2X02,Scene 7,"NEWARK, NEW JERSEY"
2X02,Scene 8,"MIDDLESEX COUNTY HOSPITAL; SAYREVILLE, NEW JERSEY"
2X02,Scene 9,"FBI NATIONAL ACADEMY; QUANTICO, VIRGINIA"
2X02,Scene 10,"NEWARK, NEW JERSEY"
2X02,Scene 11,NEWARK COUNTY SEWAGE PROCESSING PLANT
2X02,Scene 12,"FBI HEADQUARTERS; WASHINGTON, D.C."
2X02,Scene 13,MIDDLESEX COUNTY PSYCHIATRIC HOSPITAL
2X02,Scene 14,"FBI HEADQUARTERS; WASHINGTON, D.C."
2X02,Scene 15,MIDDLESEX COUNTY PSYCHIATRIC HOSPITAL
2X02,Scene 16,LAKE BETTY PARK; 5:27 am
2X02,Scene 17,LAKE BETTY PARK; 6:37 am
2X02,Scene 18,NEWARK COUNTY; SEWAGE PROCESSING PLANT; 8:15 am
2X02,Scene 19,"WASHINGTON, D.C."
2X02,Scene 20,"NEWARK, NEW JERSEY"
2X03,Scene 1,"POSTAL CENTER; FRANKLIN, PENNSYLVANIA"
2X03,Scene 2,"CIVIC CENTER; FRANKLIN, PENNSYLVANIA"
2X03,Scene 3,"FRANKLIN, PENNSYLVANIA"
2X03,Scene 4,VENANGO COUNTY SHERIFF'S OFFICE
2X03,Scene 5,"FBI NATIONAL ACADEMY; QUANTICO, VIRGINIA"
2X03,Scene 6,FRANKLIN; PENNSYLVANIA
2X03,Scene 7,McROBERTS' HOUSE
2X03,Scene 8,"FBI NATIONAL ACADEMY; QUANTICO, VIRGINIA"
2X03,Scene 9,"SHOPPING MALL; FRANKLIN, PENNSYLVANIA"
2X03,Scene 10,"FRANKLIN, PENNSYLVANIA"
2X03,Scene 11,"THE LONE GUNMEN'S OFFICE; WASHINGTON, D.C."
2X03,Scene 12,"FRANKLIN, PENNSYLVANIA"
2X03,Scene 13,"FRANKLIN COMMUNITY HOSPITAL; FRANKLIN, PENNSYLVANIA"
2X03,Scene 14,EDWARD FUNSCH'S HOUSE
2X03,Scene 15,VENANGO COUNTY SHERIFF'S OFFICE
2X03,Scene 16,"EDWARD FUNSCH'S HOUSE; FRANKLIN, PENNSYLVANIA"
2X03,Scene 17,"FRANKLIN, PENNSYLVANIA"
2X03,Scene 18,"FRANKLIN COMMUNITY HOSPITAL; FRANKLIN, PENNSYLVANIA"
2X03,Scene 19,FRANKLIN COMMUNITY COLLEGE
2X04,Scene 1,"NEW YORK CITY,NY 11:23 PM"
2X04,Scene 2,Scene flashes to Mulder and Skinner listening to the 911 tape in the AD’s  office.
2X04,Scene 3,Scene flashes to Scully in an autopsy class.
2X04,Scene 4,
2X04,Scene 5,Scene flashes to Grissom’s sleep disorder clinic.
2X04,Scene 6,Outside the clinic.  Krycek walks out of a car and towards Mulder.
2X04,Scene 7,Scene flashes to Scully’s autopsy bay.  She places a large organ on the scale.
2X04,Scene 8,Scene flashes to a man watching the home shopping network in a run down apartment.  You see a scar on his neck.
2X04,Scene 9,The scene goes to the FBI headquarters.  Mulder and Krycek look at photos of a murdered man posted on a bulletin board.
2X04,Scene 10,
2X04,Scene 11,"Scene flashed to an old, abandon warehouse."
2X04,Scene 12,Mulder waits in the car and pushes his newly acquired envelope under the car seat.
2X04,Scene 13,Scene flashes to Scully typing on her computer.
2X04,Scene 14,
2X04,Scene 15,Mulder and Krycek are stuck in a traffic jam -- the Long Island Expressway at rush hour.
2X04,Scene 16,
2X04,Scene 17,Mulder and Krycek go to the security office at the station.
2X04,Scene 18,
2X04,Scene 19,
2X04,Scene 20,
2X05,Scene 1,"PULASKI, VIRGINIA; JUNE 3, 1985"
2X05,Scene 2,"DAVIS CORRECTIONAL TREATMENT CENTER; MARION, VIRGINIA; PRESENT DAY"
2X05,Scene 3,"WASHINGTON, D.C.; AUGUST 7, 1994"
2X05,Scene 4,"DOWNTOWN RICHMOND, VA.; AUGUST 7, 1994"
2X05,Scene 5,TRAVEL TIME TRAVEL AGENCY
2X05,Scene 6,"FBI HEADQUARTERS; WASHINGTON, D.C."
2X05,Scene 7,"JEFFERSON MEMORIAL HOSPITAL; RICHMOND, VA"
2X05,Scene 8,"FBI HEADQUARTERS; WASHINGTON, D.C."
2X05,Scene 9,"FBI HEADQUARTERS; WASHINGTON, D.C."
2X05,Scene 10,SUPERMARKET
2X05,Scene 11,"JEFFERSON MEMORIAL HOSPITAL; RICHMOND, VA"
2X05,Scene 12,"MULDER'S APARTMENT; WASHINGTON, D.C."
2X06,Scene 1,"WASHINGTON, D.C.; 11:23 P.M."
2X06,Scene 2,11:46 P.M.
2X06,Scene 3,"FBI HEADQUARTERS; WASHINGTON, D.C.; 8:03 A.M."
2X06,Scene 4,"ROUTE 229; RIXEYVILLE, VIRGINIA; 11:23 A.M."
2X06,Scene 5,FBI HEADQUARTERS; VIDEO PRODUCTION UNIT; 3:11 P.M.
2X06,Scene 6,FBI HEADQUARTERS; 4:08 P.M.
2X06,Scene 7,"ROUTE 211; WARRENTON, VIRGINIA; 5:43 P.M."
2X06,Scene 8,"SKYLAND MOUNTAIN; SKYLAND, VIRGINIA"
2X06,Scene 9,SKYLAND MOUNTAIN SUMMIT; 8:46 P.M.
2X06,Scene 10,"FBI ACADEMY MORGUE; QUANTICO, VIRGINIA; 6:07 AM"
2X06,Scene 11,"DOWNTOWN WASHINGTON, D.C.; 6:16 AM"
2X06,Scene 12,"FBI HEADQUARTERS; WASHINGTON, D.C.; 10:36 A.M."
2X06,Scene 13,OFFICE OF SENATOR RICHARD MATHESON; 11:45 A.M.
2X06,Scene 14,"FBI HEADQUARTERS; WASHINGTON, D.C.; 8:11 A.M."
2X06,Scene 15,"SKYLAND MOUNTAIN, VIRGINIA"
2X07,Scene 1,"HOLLYWOOD HILLS LOS ANGELES, CALIFORNIA 12:41 AM"
2X07,Scene 2,X-FILES OFFICE
2X07,Scene 3,"LOS ANGELES, CALIFORNIA"
2X07,Scene 4,
2X07,Scene 5,
2X07,Scene 6,
2X07,Scene 7,
2X07,Scene 8,
2X07,Scene 9,
2X07,Scene 10,CLUB TEPES
2X07,Scene 11,8426 MELROSE AVE.
2X07,Scene 12,
2X07,Scene 13,
2X07,Scene 14,
2X07,Scene 15,2:15 AM
2X07,Scene 16,5:47 AM
2X07,Scene 17,
2X08,Scene 1,
2X08,Scene 2,MULDER’S APARTMENT
2X08,Scene 3,"NORTHEAST GEORGETOWN MEDICAL CENTER; WASHINGTON, D.C."
2X08,Scene 4,DALY’S OFFICE
2X08,Scene 5,DANA’S HOSPITAL BED
2X08,Scene 6,MULDER’S APARTMENT
2X08,Scene 7,"NORTHEAST GEORGETOWN MEDICAL CENTER; WASHINGTON, D.C."
2X08,Scene 8,"THE LONE GUNMEN'S OFFICE; WASHINGTON, D.C."
2X08,Scene 9,"NORTHEAST GEORGETOWN MEDICAL CENTER; WASHINGTON, D.C."
2X08,Scene 10,"ASSISTANT DIRECTOR SKINNER’S OFFICE; FBI HEADQUARTERS; WASHINGTON, D.C."
2X08,Scene 11,"NORTHEAST GEORGETOWN MEDICAL CENTER; WASHINGTON, D.C."
2X08,Scene 12,THE CIGARETTE-SMOKING MAN’S APARTMENT
2X08,Scene 13,X-FILES OFFICE; FBI HEADQUARTERS; WASHINGTON D.C.
2X08,Scene 14,MULDER’S APARTMENT
2X08,Scene 15,"NORTHEAST GEORGETOWN MEDICAL CENTER; WASHINGTON, D.C."
2X08,Scene 16,MULDER’S APARTMENT
2X08,Scene 17,"NORTHEAST GEORGETOWN MEDICAL CENTER; WASHINGTON, D.C."
2X08,Scene 18,MULDER’S APARTMENT
2X08,Scene 19,"NORTHEAST GEORGETOWN MEDICAL CENTER; WASHINGTON, D.C."
2X09,Scene 1,"CALIFORNIA INSTITUTE OF TECHNOLOGY, VOLCANO OBSERVATORY, PASADENA, CALIFORNIA, 2:45 AM"
2X09,Scene 2,MULDER'S OFFICE
2X09,Scene 3,CASCADE MOUNTAIN RANGE
2X09,Scene 4,
2X09,Scene 5,
2X09,Scene 6,
2X10,Scene 1,"J.A.S.D. BEEF DELTA GLEN, WI"
2X10,Scene 2,BETH KANE'S HOUSE
2X10,Scene 3,"DELTA GLEN, WI"
2X10,Scene 4,"X-FILES OFFICE; FBI HEADQUARTERS WASHINGTON, D.C."
2X10,Scene 5,"DELTA GLEN, WISCONSIN"
2X10,Scene 6,"CHURCH OF THE RED MUSEUM DELTA GLEN, WISCONSIN"
2X10,Scene 7,BETH KANE'S HOUSE
2X10,Scene 8,CLAY'S BBQ
2X10,Scene 9,KATIE'S HOUSE
2X10,Scene 10,MOTOR LODGE REGISTRATION
2X10,Scene 11,RICHARD ODIN'S HOUSE
2X10,Scene 12,GRAHAM COUNTY SHERIFF'S STATION
2X10,Scene 13,CATTLE FARM
2X10,Scene 14,PLANE
2X10,Scene 15,CRASH SITE
2X10,Scene 16,MOTOR LODGE REGISTRATION
2X10,Scene 17,CATTLE FARM
2X10,Scene 18,BETH KANE'S HOUSE
2X10,Scene 19,DELTA GLEN
2X10,Scene 20,GRAHAM COUNTY SHERIFF'S STATION
2X10,Scene 21,BETH KANE'S HOUSE
2X10,Scene 22,RICHARD ODIN'S HOUSE
2X10,Scene 23,"CHURCH OF THE RED MUSEUM DELTA GLEN, WISCONSIN"
2X10,Scene 24,"J.A.S.D. BEEF DELTA GLEN, WI"
2X10,Scene 25,"CHURCH OF THE RED MUSEUM DELTA GLEN, WISCONSIN"
2X11,Scene 1,"EXCELSIUS DEI CONVALESCENT HOME WORCESTER, MASS"
2X11,Scene 2,"FBI HEADQUARTERS WASHINGTON, DC"
2X11,Scene 3,
2X11,Scene 4,
2X11,Scene 5,
2X11,Scene 6,
2X11,Scene 7,
2X11,Scene 8,"HOTEL HARTLEY WORCESTER, MASS 6:53 PM"
2X11,Scene 9,
2X11,Scene 10,
2X11,Scene 11,
2X11,Scene 12,
2X11,Scene 13,
2X12,Scene 1,"POLICE HEADQUARTERS AUBREY, MISSOURI"
2X12,Scene 2,"FBI HEADQUARTERS WASHINGTON, D.C."
2X12,Scene 3,"CRIME SCENE AUBREY, MISSOURI"
2X12,Scene 4,CORONER'S OFFICE EXAMINING ROOM C
2X12,Scene 5,
2X12,Scene 6,
2X12,Scene 7,"LINCOLN PARK AUBREY, MISSOURI"
2X12,Scene 8,
2X12,Scene 9,HIGHWAY 377 MISSOURI/NEBRASKA BORDER
2X12,Scene 10,
2X12,Scene 11,
2X12,Scene 12,"MEMORIAL HOSPITAL AUBREY, MISSOURI"
2X12,Scene 13,
2X12,Scene 14,
2X12,Scene 15,"THIBEDEAUX RESIDENCE EDMOND, NEBRASKA"
2X12,Scene 16,
2X12,Scene 17,
2X12,Scene 18,"POLICE HEADQUARTERS AUBREY, MISSOURI"
2X12,Scene 19,
2X12,Scene 20,"SHAMROCK WOMEN'S PRISON PSYCHIATRIC WARD, HIGH SECURITY"
2X13,Scene 1,"JANELLI-HELLER FUNERAL HOME A teenage girl stands at a pulpit, delivering a difficult eulogy."
2X13,Scene 2,"GRAVEYARD Mulder, Scully and special agent Moe Bocks are walking towards a gravesite."
2X13,Scene 3,"FICICELLO FAMILY FROZEN FOODS. Marilyn sits behind a desk, interviewing Donnie Pfaster."
2X13,Scene 4,"Agent Bocks is sitting in his office, watching the Vikings vs. Redskins game. Scully &amp; Mulder enter. Bocks turns the TV sound down."
2X13,Scene 5,"AGENT BOCKS' OFFICE. On a computer screen, there's information regarding all sorts of murderers and maniacs, accompanied by photos of them."
2X13,Scene 6,"Donnie Pfaster. Cruising in his car, down a street lined with working girls. He stops near 2 hookers, one of them  bends down, leaning on the car."
2X13,Scene 7,DONNIE'S APARTMENT. Donnie and Satin enter. Normal apartment.
2X13,Scene 8,"An alley. Night. Police cars are all around, there's a body covered with blue satin sheets."
2X13,Scene 9,"NICE NEIGHBOURHOOD DAYTIME. Donnie Pfaster, with his delivery man uniform walks out of a delivery vehicle, with a frozen food container. He walks up to one of the houses, and knocks the door. A woman answers."
2X13,Scene 10,"COUNTY MORGUE. A group of men . they stand around the body of the satin sheet covered dead hooker on the autopsy table. Scully walks in, to perform the autopsy, all men silently make room for her."
2X13,Scene 11,A CLASSROOM NIGHT
2X13,Scene 12,"PARKING LOT The pretty coed is walking to her car, and opens the door. Donnie appears on the other side of the car and surprises her."
2X13,Scene 13,"COUNTY MORGUE. The body is lying on the autopsy table, covered with a satin sheet. Agent Scully walks in, wearing her autopsy uniform, and moves to the body. She removes the sheet from the body, and with a horror expression on her face, she sees... Herself! lying on the autopsy table. From the dead Scully's point of view, we see the demonic figure from the beginning, where the examining Scully stood before. Phone begins ringing."
2X13,Scene 14,"JAIL BLOCK NIGHT Scully, Mulder and Bocks walk down the jail corridor, heading towards a cell."
2X13,Scene 15,FBI HEADQUARTERS FINGERPRINT ANALYSIS LAB.
2X13,Scene 16,"FBI HEADQUARTERS. Scully is walking down a hallway. She reaches a door marked: ""Employee Assistance Program, K. Kosseff L.C.S.W."". Scully looks around to see no one's looking, then enters. Scully's seated across Karen Kosseff, struggling with her emotions."
2X13,Scene 17,FBI HEADQUARTERS FINGERPRINTS ANALYSIS LAB
2X13,Scene 18,"DONNIE PFASTER'S APARTMENT. The door is broken down by uniformed officers. The bedroom, just as before, flowers all over. No sheets on the bed. From out of the zippered end of one pillow, protrudes a stuffing of long human hair. Mulder and Bocks enter the apartment, Mulder walks into the kitchen as Bocks is talking on his walkie-talkie."
2X13,Scene 19,"AIRPORT NIGHT Scully exits. She goes to a car rental company.  She exits the rental company, and approaches her rented car. From another car nearby, a man is watching her. It's Donnie Pfaster.  Scully's in her car, driving. Behind her, a pair of bright headlights looms up behind her. The lights grow brighter and nearer, and Scully is taken totally by surprise, as her car is rammed from behind. She gets hold of the wheel, trying to correct the forced swerve, but her car is being rammed again."
2X13,Scene 20,AGENT BOCKS' OFFICE NIGHT
2X13,Scene 21,A ROAD
2X13,Scene 22,"Donnie is in a dark house. He's going down a corridor, entering a bathroom. The bathtub is filling, we can guess the temperature of the water. There are little bottles of shampoos etc. on the side of the tub.  Donnie is again, walking in a corridor, entering a bedroom. He opens the closet door. Inside we see Scully, huddled in the corner. Her hands and feet are tied, her mouth gagged. Her face is bruised, her eyes are closed. She opens her eyes, and sees... The demonic figure from her dream. Donnie's closing the door."
2X13,Scene 23,BOCKS' OFFICE.
2X13,Scene 24,"Donnie in that dark house, moving towards the closet and opens it. Scully is in there, very frightened."
2X13,Scene 25,BOCKS' OFFICE Mulder and Bocks look at a computer screen.
2X13,Scene 26,"BEDROOM Inside the closet. Donnie's near Scully, he's inspecting her findernails. He uses a sharp knife to cut the rope that binds her feet."
2X13,Scene 27,
2X14,Scene 1,"PARENT TEACHER COMMITTEE MILFORD HAVEN, NH"
2X14,Scene 2,"MILFORD HAVEN, NH EXTERIOR. NIGHT. WOODS"
2X14,Scene 3,NEXT DAY SAME SPOT 8:55 A.M.
2X14,Scene 4,CROWLEY HIGH SCHOOL LIBRARY
2X14,Scene 5,INT. DAY. SCIENCE LAB A TYPICAL HIGH-SCHOOL SCIENCE LAB/CLASSROOM.
2X14,Scene 6,CALCAGNI'S OFFICE
2X14,Scene 8,SCHOOL CORRIDOR
2X14,Scene 9,SCIENCE LAB
2X14,Scene 10,OUTSIDE SCHOOL
2X14,Scene 11,CALCAGNI'S OFFICE.
2X14,Scene 12,SCIENCE LAB
2X14,Scene 13,RECEPTION AREA OUTSIDE CALCAGNI'S OFFICE
2X14,Scene 14,"Benches outside school, away from the main building"
2X14,Scene 15,AUSBURY RESIDENCE
2X14,Scene 16,SCIENCE LAB
2X14,Scene 17,PADDOCK'S OFFICE
2X14,Scene 18,SCIENCE LAB
2X14,Scene 19,PADDOCK'S OFFICE
2X14,Scene 20,PADDOCK'S OFFICE
2X14,Scene 21,NIGHT. CAR PARK OUTSIDE SCHOOL
2X14,Scene 22,SCIENCE LAB
2X14,Scene 23,"KITCHEN, AUSBURY RESIDENCE"
2X14,Scene 24,RECEPTION AREA OUTSIDE CALCAGNI'S OFFICE
2X14,Scene 25,"CELLAR, AUSBURY RESIDENCE"
2X14,Scene 26,PADDOCK'S OFFICE
2X14,Scene 27,RECEPTION AREA OUTSIDE CALCAGNI'S OFFICE
2X14,Scene 28,"CELLAR, AUSBURY RESIDENCE"
2X14,Scene 29,PADDOCK'S OFFICE
2X14,Scene 30,"CELLAR, AUSBURY RESIDENCE"
2X14,Scene 31,CAR PARK OUTSIDE SCHOOL
2X14,Scene 32,DOOR OF RECEPTION AREA OUTSIDE CALCAGNI'S OFFICE
2X14,Scene 33,"CELLAR, AUSBURY RESIDENCE"
2X14,Scene 34,PADDOCK'S OFFICE
2X14,Scene 35,
2X14,Scene 36,SCIENCE LAB
2X14,Scene 37,CONFERENCE ROOM
2X14,Scene 38,CROWLEY HIGH SCHOOL GYMNASIUM
2X14,Scene 39,GYMNASIUM SHOWERS
2X14,Scene 40,PADDOCK'S OFFICE
2X14,Scene 41,GYMNASIUM SHOWERS
2X14,Scene 42,PADDOCK'S OFFICE
2X14,Scene 43,GYMNASIUM SHOWERS
2X14,Scene 44,SCIENCE LAB
2X15,Scene 1,"FOLKSTONE, NORTH CAROLINA"
2X15,Scene 2,"COUNTY ROAD 10 FOLKSTONE, NORTH CAROLINA"
2X15,Scene 3,
2X15,Scene 4,FOLKSTONE INS PROCESSING CENTER
2X15,Scene 5,TEMPORARY CAMP MORGUE
2X15,Scene 6,PROCESSING CENTER BRIG
2X15,Scene 7,
2X15,Scene 8,PCYCHIATRIC INFIRMARY
2X15,Scene 9,FOLKSTONE MUNICIPAL CEMETERY
2X15,Scene 10,
2X15,Scene 11,
2X15,Scene 12,
2X15,Scene 13,COUNTY ROAD 10
2X15,Scene 14,
2X15,Scene 15,
2X15,Scene 16,
2X15,Scene 17,
2X15,Scene 18,
2X15,Scene 19,
2X15,Scene 20,
2X16,Scene 1,
2X16,Scene 2,"RESEARCH VESSEL ALTA; BEAUFORT SEA, ARCTIC CIRCLE; TWO WEEKS EARLIER"
2X16,Scene 3,"WOMAN'S CARE FAMILY SERVICES AND CLINIC; SCRANTON, PENNSYLVANIA"
2X16,Scene 4,"X-FILES OFFICE; FBI HEADQUARTERS; WASHINGTON, D.C."
2X16,Scene 5,"SCRANTON, PENNSYLVANIA"
2X16,Scene 6,"GLOBE AND MAIL; BINGHAMTON, N.Y."
2X16,Scene 7,"FBI FIELD OFFICE; SYRACUSE, N.Y."
2X16,Scene 8,"737 26TH STREET; SYRACUSE, N.Y."
2X16,Scene 9,"FBI HEADQUARTERS; WASHINGTON, D.C."
2X16,Scene 10,"X-FILES OFFICE; FBI HEADQUARTERS; WASHINGTON, D.C."
2X16,Scene 11,"SCULLY'S HOUSE; WASHINGTON, D.C."
2X16,Scene 12,"GERMANTOWN, MARYLAND"
2X16,Scene 13,DICKENS' APARTMENT
2X16,Scene 14,"X-FILES OFFICE; FBI HEADQUARTERS; WASHINGTON, D.C."
2X16,Scene 15,"AUTOPSY BAY; FBI HEADQUARTERS; WASHINGTON, D.C."
2X16,Scene 16,"ASSISTANT DIRECTOR WALTER SKINNER'S OFFICE; FBI HEADQUARTERS; WASHINGTON, D.C."
2X16,Scene 17,"X-FILES OFFICE; FBI HEADQUARTERS; WASHINGTON, D.C."
2X16,Scene 18,3243 EDMONTON STREET
2X16,Scene 19,"SCULLY'S HOUSE; WASHINGTON, D.C."
2X16,Scene 20,"MARTHA'S VINEYARD; WEST TISBURY, MASSACHUSETTS"
2X16,Scene 21,"SCULLY'S APARTMENT; WASHINGTON, D.C."
2X16,Scene 22,"MULDER'S APARTMENT; WASHINGTON, D.C."
2X16,Scene 23,BUS STOP
2X16,Scene 24,3243 EDMONTON STREET
2X16,Scene 25,"MULDER'S APARTMENT; WASHINGTON, D.C."
2X16,Scene 26,"FEDERAL STOCKADE; TILESTON, VIRGINIA; 7:05 PM"
2X16,Scene 27,"VACATION VILLAGE MOTORLODGE; GERMANTOWN, MARYLAND"
2X17,Scene 1,"BEAUFORT SEA; 67 MILES NORTH OF DEADHORSE, ALASKA; USS ALLEGIANCE; CRUISING DEPTH 1,000 FEET"
2X17,Scene 2,"VACATION VILLAGE MOTORLODGE; GERMANTOWN, MARYLAND"
2X17,Scene 3,MULDER'S APARTMENT
2X17,Scene 4,"OLD MEMORIAL BRIDGE; BETHESDA, MARYLAND"
2X17,Scene 5,MULDER'S APARTMENT
2X17,Scene 6,"WOMEN'S HEALTH SERVICES CLINIC; ROCKVILLE, MARYLAND"
2X17,Scene 7,"OLD MEMORIAL BRIDGE; BETHESDA, MARYLAND"
2X17,Scene 8,"WOMEN'S HEALTH SERVICES CLINIC; ROCKVILLE, MARYLAND"
2X17,Scene 9,"FBI HEADQUARTERS; WASHINGTON, D.C."
2X17,Scene 10,US MEDICAL RESEARCH INSTITUTE OF INFECTIOUS DISEASES
2X17,Scene 11,"KENNEDY CENTER; WASHINGTON, D.C."
2X17,Scene 12,MULDER'S APARTMENT
2X17,Scene 13,"ASSISTANT DIRECTOR WALTER SKINNER'S OFFICE; FBI HEADQUARTERS; WASHINGTON, D.C."
2X17,Scene 14,MULDER'S APARTMENT
2X17,Scene 15,EMERGENCY ROOM; EISENHOWER FIELD
2X18,Scene 1,"IDAHO MUTUAL INSURANCE TRUST, FAIRFIELD, IDAHO"
2X18,Scene 2,
2X18,Scene 3,FAIRFIELD ZOO
2X18,Scene 4,"CONSTRUCTION SITE, HIGHWAY 24"
2X18,Scene 5,JOJO'S COPY CENTER
2X18,Scene 6,W.A.O. OFFICES
2X18,Scene 7,"BLAKE TOWERS CONSTRUCTION SITE, DOWNTOWN BOISE"
2X18,Scene 8,
2X18,Scene 9,
2X19,Scene 1,"NORWEGIAN SEA, 65 DEGREES LATITUE, 8 DEGREES EAST LONGITUDE"
2X19,Scene 2,18 HOURS LATER
2X19,Scene 3,"BETHESDA NAVAL HOSPITAL, BETHESDA, MARYLAND"
2X19,Scene 4,MULDER'S OFFICE
2X19,Scene 5,"PORT OF TILDESKAN, NORWAY"
2X19,Scene 6,
2X19,Scene 7,
2X19,Scene 8,
2X19,Scene 9,14 HOURS LATER
2X20,Scene 1,"GIBSONTON, FL"
2X20,Scene 2,"X-FILES OFFICE; FBI HEADQUARTERS; WASHINGTON, D.C."
2X20,Scene 3,
2X20,Scene 4,PHIL'S DINER
2X20,Scene 5,HEPCAT HELM'S WORKSHOP
2X20,Scene 6,GULF BREEZE TRAILER COURT
2X20,Scene 7,HEPCAT HELM'S WORKSHOP
2X20,Scene 8,GULF BREEZE TRAILER COURT
2X20,Scene 9,SCULLY'S TRAILER
2X20,Scene 10,HEPCAT HELM'S WORKSHOP
2X20,Scene 11,GULF BREEZE TRAILER COURT
2X20,Scene 12,GIBSONTON MUSEUM OF CURIOSITIES 3:14 PM
2X20,Scene 13,SCULLY'S TRAILER
2X20,Scene 14,SHERIFF HAMILTON'S HOUSE
2X20,Scene 15,TRAILER PARK
2X20,Scene 16,
2X20,Scene 17,MISTER NUTT'S TRAILER
2X20,Scene 18,DOCTOR BLOCKHEAD'S TRAILER
2X20,Scene 19,POLICE STATION
2X20,Scene 20,CONUNDRUM'S TRAILER
2X20,Scene 21,GULF BREEZE TRAILER COURT
2X21,Scene 1,"LINCOLN PARK, MURRAY, VIRGINIA"
2X21,Scene 2,"DR. CHARLES BURKS' LAB, UNIVERSITY OF MARYLAND, COLLEGE PARK"
2X21,Scene 3,"HOLVEY RESIDENCE, ARLINGTON, VIRGINIA"
2X21,Scene 4,"STATE DEPARTMENT, WASHINGTON, D.C."
2X21,Scene 5,
2X21,Scene 6,"UNIVERSITY OF MARYLAND, COLLEGE PARK"
2X21,Scene 7,
2X21,Scene 8,"ST. MATTHEW'S MEDICAL CENTER, ARLINGTON, VIRGINIA"
2X21,Scene 9,
2X21,Scene 10,
2X21,Scene 11,
2X21,Scene 12,
2X22,Scene 1,GUANACASTE RAIN FOREST; COSTA RICA
2X22,Scene 2,7 HOURS LATER
2X22,Scene 3,"CUMBERLAND STATE CORRECTIONAL FACILITY; DINWIDDIE COUNTY, VIRGINIA"
2X22,Scene 4,REST STOP; VIRGINIA
2X22,Scene 5,"CUMBERLAND STATE CORRECTIONAL FACILITY; DINWIDDIE COUNTY, VIRGINIA"
2X22,Scene 6,REST STOP; VIRGINIA
2X22,Scene 7,GAS STATION; VIRGINIA
2X22,Scene 8,"CUMBERLAND STATE CORRECTIONAL FACILITY; DINWIDDIE COUNTY, VIRGINIA"
2X22,Scene 9,GAS STATION; VIRGINIA
2X22,Scene 10,925 AUGUST ST.
2X22,Scene 11,"CUMBERLAND STATE CORRECTIONAL FACILITY; DINWIDDIE COUNTY, VIRGINIA"
2X22,Scene 12,925 AUGUST ST.
2X22,Scene 13,"CUMBERLAND STATE CORRECTIONAL FACILITY; DINWIDDIE COUNTY, VIRGINIA"
2X22,Scene 14,"FBI HEADQUARTERS; WASHINGTON, D.C."
2X22,Scene 15,DINWIDDIE COUNTY HOSPITAL
2X22,Scene 16,BUS DEPOT
2X22,Scene 17,"CUMBERLAND STATE CORRECTIONAL FACILITY; DINWIDDIE COUNTY, VIRGINIA"
2X22,Scene 18,BUS DEPOT
